"event","time","node","dest","n","proportion","select","shift"
"exit",164,3,0,1,0,4,0
"exit",164,53,0,1,0,4,0
"exit",164,65,0,1,0,4,0
"exit",164,67,0,1,0,4,0
"exit",164,81,0,1,0,4,0
"exit",164,88,0,1,0,4,0
"exit",164,90,0,1,0,4,0
"exit",164,91,0,1,0,4,0
"exit",164,115,0,1,0,4,0
"exit",164,128,0,1,0,4,0
"exit",164,146,0,1,0,4,0
"exit",164,151,0,1,0,4,0
"exit",164,180,0,1,0,4,0
"exit",164,203,0,1,0,4,0
"exit",164,212,0,1,0,4,0
"exit",164,216,0,1,0,4,0
"exit",164,220,0,1,0,4,0
"exit",164,241,0,1,0,4,0
"exit",164,253,0,1,0,4,0
"exit",164,275,0,1,0,4,0
"exit",164,289,0,1,0,4,0
"exit",164,295,0,1,0,4,0
"exit",164,306,0,1,0,4,0
"exit",164,308,0,1,0,4,0
"exit",164,333,0,1,0,4,0
"exit",164,340,0,1,0,4,0
"exit",164,342,0,1,0,4,0
"exit",164,398,0,1,0,4,0
"exit",164,400,0,1,0,4,0
"exit",164,409,0,1,0,4,0
"exit",164,410,0,1,0,4,0
"exit",164,412,0,1,0,4,0
"exit",164,442,0,1,0,4,0
"exit",164,466,0,1,0,4,0
"exit",164,479,0,1,0,4,0
"exit",164,521,0,1,0,4,0
"exit",164,533,0,1,0,4,0
"exit",164,547,0,1,0,4,0
"exit",164,560,0,1,0,4,0
"exit",164,560,0,1,0,4,0
"exit",164,578,0,1,0,4,0
"exit",164,583,0,1,0,4,0
"exit",164,596,0,1,0,4,0
"exit",164,598,0,1,0,4,0
"exit",164,608,0,1,0,4,0
"exit",164,608,0,1,0,4,0
"exit",164,641,0,1,0,4,0
"exit",164,645,0,1,0,4,0
"exit",164,648,0,1,0,4,0
"exit",164,649,0,1,0,4,0
"exit",164,678,0,1,0,4,0
"exit",164,681,0,1,0,4,0
"exit",164,714,0,1,0,4,0
"exit",164,738,0,1,0,4,0
"exit",164,747,0,1,0,4,0
"exit",164,750,0,1,0,4,0
"exit",164,754,0,1,0,4,0
"exit",164,756,0,1,0,4,0
"exit",164,758,0,1,0,4,0
"exit",164,779,0,1,0,4,0
"exit",164,787,0,1,0,4,0
"exit",164,796,0,1,0,4,0
"exit",164,798,0,1,0,4,0
"exit",164,805,0,1,0,4,0
"exit",164,811,0,1,0,4,0
"exit",164,813,0,1,0,4,0
"exit",164,840,0,1,0,4,0
"exit",164,898,0,1,0,4,0
"exit",164,904,0,1,0,4,0
"exit",164,905,0,1,0,4,0
"exit",164,909,0,1,0,4,0
"exit",164,940,0,1,0,4,0
"exit",164,953,0,1,0,4,0
"exit",164,960,0,1,0,4,0
"exit",164,970,0,1,0,4,0
"exit",164,971,0,1,0,4,0
"exit",164,975,0,1,0,4,0
"exit",164,978,0,1,0,4,0
"exit",164,1011,0,1,0,4,0
"exit",164,1025,0,1,0,4,0
"exit",164,1104,0,1,0,4,0
"exit",164,1107,0,1,0,4,0
"exit",164,1113,0,1,0,4,0
"exit",164,1153,0,1,0,4,0
"exit",164,1169,0,1,0,4,0
"exit",164,1179,0,1,0,4,0
"exit",164,1181,0,1,0,4,0
"exit",164,1195,0,1,0,4,0
"exit",164,1196,0,1,0,4,0
"exit",164,1201,0,1,0,4,0
"exit",164,1203,0,1,0,4,0
"exit",164,1205,0,1,0,4,0
"exit",164,1215,0,1,0,4,0
"exit",164,1219,0,1,0,4,0
"exit",164,1221,0,1,0,4,0
"exit",164,1238,0,1,0,4,0
"exit",164,1238,0,1,0,4,0
"exit",164,1242,0,1,0,4,0
"exit",164,1261,0,1,0,4,0
"exit",164,1269,0,1,0,4,0
"exit",164,1273,0,1,0,4,0
"exit",164,1278,0,1,0,4,0
"exit",164,1279,0,1,0,4,0
"exit",164,1318,0,1,0,4,0
"exit",164,1356,0,1,0,4,0
"exit",164,1379,0,1,0,4,0
"exit",164,1380,0,1,0,4,0
"exit",164,1381,0,1,0,4,0
"exit",164,1398,0,1,0,4,0
"exit",164,1407,0,1,0,4,0
"exit",164,1464,0,1,0,4,0
"exit",164,1477,0,1,0,4,0
"exit",164,1478,0,1,0,4,0
"exit",164,1481,0,1,0,4,0
