"event","time","node","dest","n","proportion","select","shift"
"exit",761,6,0,1,0,4,0
"exit",761,16,0,1,0,4,0
"exit",761,21,0,1,0,4,0
"exit",761,24,0,1,0,4,0
"exit",761,25,0,1,0,4,0
"exit",761,27,0,1,0,4,0
"exit",761,30,0,1,0,4,0
"exit",761,32,0,1,0,4,0
"exit",761,34,0,1,0,4,0
"exit",761,131,0,1,0,4,0
"exit",761,147,0,1,0,4,0
"exit",761,151,0,1,0,4,0
"exit",761,169,0,1,0,4,0
"exit",761,176,0,1,0,4,0
"exit",761,180,0,1,0,4,0
"exit",761,183,0,1,0,4,0
"exit",761,212,0,1,0,4,0
"exit",761,214,0,1,0,4,0
"exit",761,218,0,1,0,4,0
"exit",761,237,0,1,0,4,0
"exit",761,246,0,1,0,4,0
"exit",761,260,0,1,0,4,0
"exit",761,283,0,1,0,4,0
"exit",761,289,0,1,0,4,0
"exit",761,292,0,1,0,4,0
"exit",761,321,0,1,0,4,0
"exit",761,341,0,1,0,4,0
"exit",761,343,0,1,0,4,0
"exit",761,370,0,1,0,4,0
"exit",761,371,0,1,0,4,0
"exit",761,372,0,1,0,4,0
"exit",761,401,0,1,0,4,0
"exit",761,421,0,1,0,4,0
"exit",761,466,0,1,0,4,0
"exit",761,475,0,1,0,4,0
"exit",761,489,0,1,0,4,0
"exit",761,489,0,1,0,4,0
"exit",761,501,0,1,0,4,0
"exit",761,515,0,1,0,4,0
"exit",761,517,0,1,0,4,0
"exit",761,526,0,1,0,4,0
"exit",761,536,0,1,0,4,0
"exit",761,539,0,1,0,4,0
"exit",761,541,0,1,0,4,0
"exit",761,547,0,1,0,4,0
"exit",761,551,0,1,0,4,0
"exit",761,568,0,1,0,4,0
"exit",761,571,0,1,0,4,0
"exit",761,578,0,1,0,4,0
"exit",761,604,0,1,0,4,0
"exit",761,614,0,1,0,4,0
"exit",761,632,0,1,0,4,0
"exit",761,648,0,1,0,4,0
"exit",761,652,0,1,0,4,0
"exit",761,664,0,1,0,4,0
"exit",761,684,0,1,0,4,0
"exit",761,685,0,1,0,4,0
"exit",761,696,0,1,0,4,0
"exit",761,699,0,1,0,4,0
"exit",761,759,0,1,0,4,0
"exit",761,769,0,1,0,4,0
"exit",761,774,0,1,0,4,0
"exit",761,784,0,1,0,4,0
"exit",761,811,0,1,0,4,0
"exit",761,840,0,1,0,4,0
"exit",761,847,0,1,0,4,0
"exit",761,851,0,1,0,4,0
"exit",761,852,0,1,0,4,0
"exit",761,854,0,1,0,4,0
"exit",761,861,0,1,0,4,0
"exit",761,865,0,1,0,4,0
"exit",761,871,0,1,0,4,0
"exit",761,872,0,1,0,4,0
"exit",761,885,0,1,0,4,0
"exit",761,909,0,1,0,4,0
"exit",761,917,0,1,0,4,0
"exit",761,937,0,1,0,4,0
"exit",761,942,0,1,0,4,0
"exit",761,946,0,1,0,4,0
"exit",761,949,0,1,0,4,0
"exit",761,968,0,1,0,4,0
"exit",761,970,0,1,0,4,0
"exit",761,970,0,1,0,4,0
"exit",761,973,0,1,0,4,0
"exit",761,998,0,1,0,4,0
"exit",761,1008,0,1,0,4,0
"exit",761,1019,0,1,0,4,0
"exit",761,1023,0,1,0,4,0
"exit",761,1071,0,1,0,4,0
"exit",761,1092,0,1,0,4,0
"exit",761,1098,0,1,0,4,0
"exit",761,1100,0,1,0,4,0
"exit",761,1116,0,1,0,4,0
"exit",761,1147,0,1,0,4,0
"exit",761,1150,0,1,0,4,0
"exit",761,1160,0,1,0,4,0
"exit",761,1178,0,1,0,4,0
"exit",761,1184,0,1,0,4,0
"exit",761,1194,0,1,0,4,0
"exit",761,1196,0,1,0,4,0
"exit",761,1207,0,1,0,4,0
"exit",761,1207,0,1,0,4,0
"exit",761,1226,0,1,0,4,0
"exit",761,1240,0,1,0,4,0
"exit",761,1250,0,1,0,4,0
"exit",761,1267,0,1,0,4,0
"exit",761,1281,0,1,0,4,0
"exit",761,1281,0,1,0,4,0
"exit",761,1281,0,1,0,4,0
"exit",761,1305,0,1,0,4,0
"exit",761,1314,0,1,0,4,0
"exit",761,1355,0,1,0,4,0
"exit",761,1361,0,1,0,4,0
"exit",761,1372,0,1,0,4,0
"exit",761,1374,0,1,0,4,0
"exit",761,1385,0,1,0,4,0
"exit",761,1386,0,1,0,4,0
"exit",761,1390,0,1,0,4,0
"exit",761,1396,0,1,0,4,0
"exit",761,1397,0,1,0,4,0
"exit",761,1409,0,1,0,4,0
"exit",761,1419,0,1,0,4,0
"exit",761,1423,0,1,0,4,0
"exit",761,1441,0,1,0,4,0
"exit",761,1457,0,1,0,4,0
"exit",761,1472,0,1,0,4,0
"exit",761,1481,0,1,0,4,0
"exit",761,1483,0,1,0,4,0
"exit",761,1509,0,1,0,4,0
"exit",761,1513,0,1,0,4,0
"exit",761,1530,0,1,0,4,0
"exit",761,1541,0,1,0,4,0
"exit",761,1556,0,1,0,4,0
"exit",761,1586,0,1,0,4,0
"exit",761,1592,0,1,0,4,0
"enter",761,3,0,1,0,1,0
"enter",761,14,0,1,0,1,0
"enter",761,17,0,1,0,1,0
"enter",761,32,0,1,0,1,0
"enter",761,61,0,1,0,1,0
"enter",761,74,0,1,0,1,0
"enter",761,93,0,1,0,1,0
"enter",761,117,0,1,0,1,0
"enter",761,119,0,1,0,1,0
"enter",761,152,0,1,0,1,0
"enter",761,181,0,1,0,1,0
"enter",761,194,0,1,0,1,0
"enter",761,199,0,1,0,1,0
"enter",761,202,0,1,0,1,0
"enter",761,218,0,1,0,1,0
"enter",761,229,0,1,0,1,0
"enter",761,237,0,1,0,1,0
"enter",761,270,0,1,0,1,0
"enter",761,277,0,1,0,1,0
