"event","time","node","dest","n","proportion","select","shift"
"exit",1196,5,0,1,0,4,0
"exit",1196,27,0,1,0,4,0
"exit",1196,28,0,1,0,4,0
"exit",1196,37,0,1,0,4,0
"exit",1196,45,0,1,0,4,0
"exit",1196,64,0,1,0,4,0
"exit",1196,87,0,1,0,4,0
"exit",1196,90,0,1,0,4,0
"exit",1196,95,0,1,0,4,0
"exit",1196,98,0,1,0,4,0
"exit",1196,112,0,1,0,4,0
"exit",1196,139,0,1,0,4,0
"exit",1196,150,0,1,0,4,0
"exit",1196,162,0,1,0,4,0
"exit",1196,163,0,1,0,4,0
"exit",1196,181,0,1,0,4,0
"exit",1196,214,0,1,0,4,0
"exit",1196,226,0,1,0,4,0
"exit",1196,239,0,1,0,4,0
"exit",1196,262,0,1,0,4,0
"exit",1196,265,0,1,0,4,0
"exit",1196,266,0,1,0,4,0
"exit",1196,270,0,1,0,4,0
"exit",1196,274,0,1,0,4,0
"exit",1196,287,0,1,0,4,0
"exit",1196,293,0,1,0,4,0
"exit",1196,299,0,1,0,4,0
"exit",1196,307,0,1,0,4,0
"exit",1196,313,0,1,0,4,0
"exit",1196,338,0,1,0,4,0
"exit",1196,340,0,1,0,4,0
"exit",1196,364,0,1,0,4,0
"exit",1196,378,0,1,0,4,0
"exit",1196,401,0,1,0,4,0
"exit",1196,407,0,1,0,4,0
"exit",1196,422,0,1,0,4,0
"exit",1196,427,0,1,0,4,0
"exit",1196,456,0,1,0,4,0
"exit",1196,470,0,1,0,4,0
"exit",1196,476,0,1,0,4,0
"exit",1196,489,0,1,0,4,0
"exit",1196,496,0,1,0,4,0
"exit",1196,497,0,1,0,4,0
"exit",1196,518,0,1,0,4,0
"exit",1196,524,0,1,0,4,0
"exit",1196,539,0,1,0,4,0
"exit",1196,540,0,1,0,4,0
"exit",1196,559,0,1,0,4,0
"exit",1196,561,0,1,0,4,0
"exit",1196,562,0,1,0,4,0
"exit",1196,571,0,1,0,4,0
"exit",1196,604,0,1,0,4,0
"exit",1196,608,0,1,0,4,0
"exit",1196,658,0,1,0,4,0
"exit",1196,678,0,1,0,4,0
"exit",1196,685,0,1,0,4,0
"exit",1196,694,0,1,0,4,0
"exit",1196,702,0,1,0,4,0
"exit",1196,707,0,1,0,4,0
"exit",1196,732,0,1,0,4,0
"exit",1196,774,0,1,0,4,0
"exit",1196,791,0,1,0,4,0
"exit",1196,795,0,1,0,4,0
"exit",1196,822,0,1,0,4,0
"exit",1196,843,0,1,0,4,0
"exit",1196,852,0,1,0,4,0
"exit",1196,858,0,1,0,4,0
"exit",1196,868,0,1,0,4,0
"exit",1196,888,0,1,0,4,0
"exit",1196,893,0,1,0,4,0
"exit",1196,896,0,1,0,4,0
"exit",1196,913,0,1,0,4,0
"exit",1196,913,0,1,0,4,0
"exit",1196,919,0,1,0,4,0
"exit",1196,921,0,1,0,4,0
"exit",1196,922,0,1,0,4,0
"exit",1196,937,0,1,0,4,0
"exit",1196,944,0,1,0,4,0
"exit",1196,953,0,1,0,4,0
"exit",1196,959,0,1,0,4,0
"exit",1196,962,0,1,0,4,0
"exit",1196,965,0,1,0,4,0
"exit",1196,965,0,1,0,4,0
"exit",1196,977,0,1,0,4,0
"exit",1196,980,0,1,0,4,0
"exit",1196,986,0,1,0,4,0
"exit",1196,994,0,1,0,4,0
"exit",1196,1061,0,1,0,4,0
"exit",1196,1074,0,1,0,4,0
"exit",1196,1077,0,1,0,4,0
"exit",1196,1078,0,1,0,4,0
"exit",1196,1094,0,1,0,4,0
"exit",1196,1094,0,1,0,4,0
"exit",1196,1095,0,1,0,4,0
"exit",1196,1102,0,1,0,4,0
"exit",1196,1106,0,1,0,4,0
"exit",1196,1117,0,1,0,4,0
"exit",1196,1119,0,1,0,4,0
"exit",1196,1121,0,1,0,4,0
"exit",1196,1128,0,1,0,4,0
"exit",1196,1186,0,1,0,4,0
"exit",1196,1191,0,1,0,4,0
"exit",1196,1191,0,1,0,4,0
"exit",1196,1205,0,1,0,4,0
"exit",1196,1224,0,1,0,4,0
"exit",1196,1231,0,1,0,4,0
"exit",1196,1242,0,1,0,4,0
"exit",1196,1280,0,1,0,4,0
"exit",1196,1287,0,1,0,4,0
"exit",1196,1292,0,1,0,4,0
"exit",1196,1295,0,1,0,4,0
"exit",1196,1303,0,1,0,4,0
"exit",1196,1306,0,1,0,4,0
"exit",1196,1319,0,1,0,4,0
